Compound,Ionization_Mode,Score,Mass,Retention_Time,Frequency,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Mean_MB,Median_MB,STD_MB,CV_MB,N_Abun_MB,Mean_53_T,Median_53_T,STD_53_T,CV_53_T,N_Abun_53_T,Mean_54_T,Median_54_T,STD_54_T,CV_54_T,N_Abun_54_T,Mean_55_T,Median_55_T,STD_55_T,CV_55_T,N_Abun_55_T,Mean_56_T,Median_56_T,STD_56_T,CV_56_T,N_Abun_56_T,Mean_57_T,Median_57_T,STD_57_T,CV_57_T,N_Abun_57_T,Mean_58_T,Median_58_T,STD_58_T,CV_58_T,N_Abun_58_T,Mean_59_T,Median_59_T,STD_59_T,CV_59_T,N_Abun_59_T,Mean_60_T,Median_60_T,STD_60_T,CV_60_T,N_Abun_60_T,Mean_45_T,Median_45_T,STD_45_T,CV_45_T,N_Abun_45_T,Mean_46_T,Median_46_T,STD_46_T,CV_46_T,N_Abun_46_T,Mean_47_T,Median_47_T,STD_47_T,CV_47_T,N_Abun_47_T,Mean_48_T,Median_48_T,STD_48_T,CV_48_T,N_Abun_48_T,Mean_49_T,Median_49_T,STD_49_T,CV_49_T,N_Abun_49_T,Mean_50_T,Median_50_T,STD_50_T,CV_50_T,N_Abun_50_T,Mean_51_T,Median_51_T,STD_51_T,CV_51_T,N_Abun_51_T,Mean_52_T,Median_52_T,STD_52_T,CV_52_T,N_Abun_52_T,is_Formate_Adduct,has_Formate_Adduct,unique_Formate_Number,is_H2O_Adduct,has_H2O_Adduct,unique_H2O_Number,is_Ammonium_Adduct,has_Ammonium_Adduct,unique_Ammonium_Number,is_CO2_Adduct,has_CO2_Adduct,unique_CO2_Number,is_Na_Adduct,has_Na_Adduct,unique_Na_Number,Rounded_Mass,Median_ALLSamples,SampletoBlanks_ratio,Median_ALLMB,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_60_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T,BlankSub_Median_ALLSamples
C20H26N6O9,,79.74,494.1781,8.655,51,,,,29705.0,28006.0,33432.0,35566.0,21725.0,34532.0,28778.0,23705.0,29861.0,28029.0,25965.0,24754.0,,22274.0,,28876.0,,35590.0,22785.0,32128.0,24313.0,26308.0,16428.0,22559.0,14184.0,19942.0,,,34275.0,,,,34206.0,,,,25022.0,31597.0,35655.0,29054.0,28738.0,25808.0,38561.0,23128.0,37695.0,29275.0,26268.0,,,,,,0,30381.0,29705.0,2775.0,0.09,3,30608.0,34532.0,7710.0,0.25,3,27448.0,28778.0,3286.0,0.12,3,26249.0,25965.0,1656.0,0.06,3,22274.0,22274.0,,,1,32233.0,32233.0,4748.0,0.15,2,26409.0,24313.0,5012.0,0.19,3,21765.0,22559.0,4988.0,0.23,3,17063.0,17063.0,4072.0,0.24,2,34275.0,34275.0,,,1,34206.0,34206.0,,,1,,,,,0,30758.0,31597.0,5366.0,0.17,3,27867.0,28738.0,1790.0,0.06,3,33128.0,37695.0,8671.0,0.26,3,27772.0,27772.0,2126.0,0.08,2,,,,,,,,,,,,,,,,494.0,28778.0,,0.0,29705.0,34532.0,28778.0,25965.0,22274.0,32233.0,24313.0,22559.0,17063.0,34275.0,34206.0,,31597.0,28738.0,37695.0,27772.0,28778.0
C28H30O8,,98.65,494.1954,7.6449976,51,,,,,,,,,,,,,,,,,,,,,13194.0,,,,,,,,,,,35597.0,,,,,,,,,,,,,,256053.0,227224.0,379535.0,124137.0,111145.0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,13194.0,13194.0,,,1,,,,,0,,,,,0,,,,,0,35597.0,35597.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,287604.0,256053.0,80909.0,0.28,3,117641.0,117641.0,9187.0,0.08,2,,,,,,,,,,,,,,,,494.0,76619.0,,0.0,,,,,,13194.0,,,,35597.0,,,,,256053.0,117641.0,76619.0
C30H39O4P,,77.2,494.2592,10.127007,51,,,,,,,45751.0,33000.0,56946.0,,,,,,,,28879.0,,28790.0,,34211.0,,27123.0,,32148.0,34730.0,38169.0,29861.0,44633.0,,,,,,,25195.0,,,,,,,80880.0,84388.0,83752.0,,,49414.0,69452.0,77496.0,52494.0,,,,,0,,,,,0,45232.0,45751.0,11981.0,0.26,3,,,,,0,,,,,0,28879.0,28879.0,,,1,31500.0,31500.0,3833.0,0.12,2,27123.0,27123.0,,,1,35016.0,34730.0,3021.0,0.09,3,37247.0,37247.0,10445.0,0.28,2,,,,,0,25195.0,25195.0,,,1,,,,,0,,,,,0,83007.0,83752.0,1869.0,0.02,3,49414.0,49414.0,,,1,66481.0,69452.0,12763.0,0.19,3,,,,,,,,,,,,,,,,494.0,35988.0,,0.0,,45751.0,,,28879.0,31500.0,27123.0,34730.0,37247.0,,25195.0,,,83752.0,49414.0,69452.0,35988.0
C29H38N2O5,,74.76,494.2787,8.735994999999999,51,,,,,,,,,,,,,,,,,50877.0,52299.0,,,,,,,,36042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,51588.0,51588.0,1006.0,0.02,2,,,,,0,,,,,0,36042.0,36042.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,494.0,43815.0,,0.0,,,,,51588.0,,,36042.0,,,,,,,,,43815.0
C26H54O4S2,,78.85,494.3493,12.0929985,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575222.0,,,129186.0,172200.0,,,121555.0,80976.0,95322.0,,,,97712.0,266229.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,575222.0,575222.0,,,1,129186.0,129186.0,,,1,172200.0,172200.0,,,1,99284.0,95322.0,20578.0,0.21,3,,,,,0,181970.0,181970.0,119160.0,0.65,2,,,,,0,,,,,0,,,,,,,,,,,,,,,,494.0,172200.0,,0.0,,,,,,,,,575222.0,129186.0,172200.0,95322.0,,181970.0,,,172200.0
C34H55P,,76.99,494.4032,12.713007000000001,51,,,,129783.0,102966.0,92149.0,82993.0,43818.0,93499.0,53639.0,40243.0,68175.0,98106.0,109614.0,41685.0,61813.0,51359.0,53692.0,46462.0,,56243.0,33415.0,57682.0,94535.0,35604.0,111721.0,52093.0,408532.0,695875.0,674234.0,,,813638.0,171453.0,62553.0,103899.0,825576.0,230277.0,986877.0,,,70524.0,176795.0,1125179.0,205970.0,,,,106761.0,62498.0,96227.0,,,,,0,108299.0,102966.0,19376.0,0.18,3,73437.0,82993.0,26183.0,0.36,3,54019.0,53639.0,13970.0,0.26,3,83135.0,98106.0,36355.0,0.44,3,55621.0,53692.0,5488.0,0.1,3,51352.0,51352.0,6916.0,0.13,2,61877.0,57682.0,30775.0,0.5,3,66473.0,52093.0,40044.0,0.6,3,592880.0,674234.0,160017.0,0.27,3,813638.0,813638.0,,,1,112635.0,103899.0,54973.0,0.49,3,680910.0,825576.0,398506.0,0.59,3,70524.0,70524.0,,,1,502648.0,205970.0,539325.0,1.07,3,,,,,0,88495.0,96227.0,23122.0,0.26,3,,,,,,,,,,,,,,,,494.0,96227.0,,0.0,102966.0,82993.0,53639.0,98106.0,53692.0,51352.0,57682.0,52093.0,674234.0,813638.0,103899.0,825576.0,70524.0,205970.0,,96227.0,96227.0
C35H28OP,,69.2,495.1853,6.4600005,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,18286.0,24139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,21212.0,21212.0,4139.0,0.2,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,495.0,21212.0,,0.0,,,,,,,,,21212.0,,,,,,,,21212.0
C32H35NP2,,71.67,495.2261,8.359001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,42043.0,54215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,48129.0,48129.0,8607.0,0.18,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,495.0,48129.0,,0.0,,,,,,,,,48129.0,,,,,,,,48129.0
C33H39N2O2,,84.81,495.3002,10.794004,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,134547.0,116692.0,79677.0,,62498.0,,,82457.0,117177.0,,,,67096.0,,106990.0,154911.0,808491.0,312667.0,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,110305.0,116692.0,27987.0,0.25,3,62498.0,62498.0,,,1,99817.0,99817.0,24551.0,0.25,2,,,,,0,87043.0,87043.0,28209.0,0.32,2,425356.0,312667.0,341051.0,0.8,3,,,,,0,,,,,0,,,,,,,,,,,,,,,,495.0,99817.0,,0.0,,,,,,,,,116692.0,62498.0,99817.0,,87043.0,312667.0,,,99817.0
C34H27NOP,,75.14,496.1816,8.897002,51,,,,21571.0,20373.0,24133.0,22081.0,,22603.0,29952.0,24424.0,28894.0,24841.0,21715.0,18287.0,,22956.0,,20786.0,,22374.0,,15848.0,14228.0,22288.0,22000.0,22816.0,15531.0,27156.0,19897.0,,35570.0,,28295.0,49234.0,44513.0,,19238.0,,34758.0,41420.0,51583.0,37929.0,33167.0,34925.0,36370.0,26948.0,52024.0,36788.0,44701.0,30323.0,,,,,0,22026.0,21571.0,1921.0,0.09,3,22342.0,22342.0,369.0,0.02,2,27757.0,28894.0,2934.0,0.11,3,21614.0,21715.0,3278.0,0.15,3,22956.0,22956.0,,,1,21580.0,21580.0,1123.0,0.05,2,15038.0,15038.0,1146.0,0.08,2,22368.0,22288.0,414.0,0.02,3,20861.0,19897.0,5872.0,0.28,3,35570.0,35570.0,,,1,40681.0,44513.0,10983.0,0.27,3,19238.0,19238.0,,,1,42587.0,41420.0,8473.0,0.2,3,35340.0,34925.0,2408.0,0.07,3,38447.0,36370.0,12666.0,0.33,3,37271.0,36788.0,7201.0,0.19,3,,,,,,,,,,,,,,,,496.0,22649.0,,0.0,21571.0,22342.0,28894.0,21715.0,22956.0,21580.0,15038.0,22288.0,19897.0,35570.0,44513.0,19238.0,41420.0,34925.0,36370.0,36788.0,22649.0
C26H32N4O6,,78.77,496.2311,9.584997,51,,,,33525.0,29722.0,23592.0,29257.0,,35801.0,,,,,,,,61712.0,36261.0,,21992.0,30307.0,,22761.0,,,42761.0,,,,,,42646.0,,,,,,,,,,53363.0,53119.0,,,34490.0,40280.0,42024.0,39060.0,27630.0,63442.0,,,,,0,28946.0,29722.0,5012.0,0.17,3,32529.0,32529.0,4627.0,0.14,2,,,,,0,,,,,0,48986.0,48986.0,17997.0,0.37,2,26150.0,26150.0,5880.0,0.22,2,22761.0,22761.0,,,1,42761.0,42761.0,,,1,,,,,0,42646.0,42646.0,,,1,,,,,0,,,,,0,53363.0,53363.0,,,1,53119.0,53119.0,,,1,38931.0,40280.0,3944.0,0.1,3,43377.0,39060.0,18292.0,0.42,3,,,,,,,,,,,,,,,,496.0,40280.0,,0.0,29722.0,32529.0,,,48986.0,26150.0,22761.0,42761.0,,42646.0,,,53363.0,53119.0,40280.0,39060.0,40280.0
C27H36N4O5,,74.71,496.2721,9.908998,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93270.0,,,,,,42566.0,28636.0,42894.0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,93270.0,93270.0,,,1,,,,,0,42566.0,42566.0,,,1,35765.0,35765.0,10082.0,0.28,2,,,,,,,,,,,,,,,,496.0,42566.0,,0.0,,,,,,,,,,,,,93270.0,,42566.0,35765.0,42566.0
C28H40N4O4,,95.01,496.3107,10.430999,51,,,,20169.0,24589.0,,,,25285.0,,,33432.0,,,,,,,,,,,,,,,20843.0,87184.0,151424.0,30796.0,,98657.0,,,47190.0,107109.0,35494.0,34324.0,,62119.0,61617.0,89041.0,95221.0,37539.0,33792.0,46504.0,46670.0,61707.0,68134.0,26898.0,,,,,,0,22379.0,22379.0,3125.0,0.14,2,25285.0,25285.0,,,1,33432.0,33432.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,20843.0,20843.0,,,1,89801.0,87184.0,60357.0,0.67,3,98657.0,98657.0,,,1,77150.0,77150.0,42369.0,0.55,2,34909.0,34909.0,827.0,0.02,2,70926.0,62119.0,15690.0,0.22,3,55517.0,37539.0,34435.0,0.62,3,51627.0,46670.0,8730.0,0.17,3,47516.0,47516.0,29158.0,0.61,2,,,,,,,,,,,,,,,,496.0,42104.0,,0.0,22379.0,25285.0,33432.0,,,,,20843.0,87184.0,98657.0,77150.0,34909.0,62119.0,37539.0,46670.0,47516.0,42104.0
C30H44N2O4,,87.45,496.3261,11.747992,51,,,,30173.0,,,,,,,,,43509.0,33677.0,,,,,,,,,,,,,,140218.0,130710.0,250646.0,,28978.0,125721.0,85097.0,49302.0,37945.0,115753.0,49284.0,152802.0,51495.0,54784.0,93338.0,102692.0,573458.0,104950.0,,,,,,,,,,,0,30173.0,30173.0,,,1,,,,,0,,,,,0,38593.0,38593.0,6952.0,0.18,2,,,,,0,,,,,0,,,,,0,,,,,0,173858.0,140218.0,66670.0,0.38,3,77350.0,77350.0,68408.0,0.88,2,57448.0,49302.0,24609.0,0.43,3,105946.0,115753.0,52451.0,0.5,3,66539.0,54784.0,23267.0,0.35,3,260367.0,104950.0,271147.0,1.04,3,,,,,0,,,,,0,,,,,,,,,,,,,,,,496.0,66067.0,,0.0,30173.0,,,38593.0,,,,,140218.0,77350.0,49302.0,115753.0,54784.0,104950.0,,,66067.0
C28H52N2O5 12.440999,,80.91,496.3821,12.440999,51,,,,168416.0,,182978.0,97628.0,,,46052.0,,112935.0,123522.0,105605.0,151336.0,50215.0,,,80723.0,,81688.0,95547.0,68550.0,,111087.0,,100243.0,584902.0,624915.0,597440.0,,297155.0,21634.0,72716.0,205402.0,528034.0,19984.0,158082.0,162466.0,332777.0,327053.0,997777.0,487585.0,1190185.0,644842.0,95255.0,129988.0,75632.0,321283.0,279563.0,343846.0,,,,,0,175697.0,175697.0,10297.0,0.06,2,97628.0,97628.0,,,1,79494.0,79494.0,47293.0,0.59,2,126821.0,123522.0,23043.0,0.18,3,50215.0,50215.0,,,1,81206.0,81206.0,682.0,0.01,2,82048.0,82048.0,19090.0,0.23,2,105665.0,105665.0,7668.0,0.07,2,602419.0,597440.0,20466.0,0.03,3,159394.0,159394.0,194823.0,1.22,2,268717.0,205402.0,234169.0,0.87,3,113511.0,158082.0,81026.0,0.71,3,552536.0,332777.0,385601.0,0.7,3,774204.0,644842.0,368731.0,0.48,3,100292.0,95255.0,27526.0,0.27,3,314897.0,321283.0,32614.0,0.1,3,,,,,,,,,,,,,,,,496.0,140802.0,,0.0,175697.0,97628.0,79494.0,123522.0,50215.0,81206.0,82048.0,105665.0,597440.0,159394.0,205402.0,158082.0,332777.0,644842.0,95255.0,321283.0,140802.0
C28H52N2O5 12.437006,,80.91,496.3851,12.437006,51,,,,168416.0,,182978.0,97628.0,,,101503.0,,112935.0,123522.0,104742.0,151336.0,48794.0,,,80723.0,,81958.0,95547.0,68550.0,,111087.0,,100243.0,602571.0,754184.0,597375.0,,297155.0,115159.0,72716.0,205402.0,528013.0,71412.0,156312.0,162466.0,332777.0,327053.0,1029754.0,485483.0,1307220.0,644450.0,95255.0,130438.0,75632.0,320232.0,279795.0,169650.0,,,,,0,175697.0,175697.0,10297.0,0.06,2,97628.0,97628.0,,,1,107219.0,107219.0,8084.0,0.08,2,126533.0,123522.0,23443.0,0.19,3,48794.0,48794.0,,,1,81340.0,81340.0,873.0,0.01,2,82048.0,82048.0,19090.0,0.23,2,105665.0,105665.0,7668.0,0.07,2,651377.0,602571.0,89072.0,0.14,3,206157.0,206157.0,128691.0,0.62,2,268710.0,205402.0,234158.0,0.87,3,130063.0,156312.0,50887.0,0.39,3,563195.0,332777.0,404062.0,0.72,3,812384.0,644450.0,435849.0,0.54,3,100442.0,95255.0,27769.0,0.28,3,256559.0,279795.0,77934.0,0.3,3,,,,,,,,,,,,,,,,496.0,139917.0,,0.0,175697.0,97628.0,107219.0,123522.0,48794.0,81340.0,82048.0,105665.0,602571.0,206157.0,205402.0,156312.0,332777.0,644450.0,95255.0,279795.0,139917.0
C33H26N2O3,,59.46,498.1974,8.727998,51,,,,,,,,,,,,,,,,,,,14922.0,,17857.0,,,,,,,,,23753.0,,14028.0,,21551.0,30401.0,28854.0,,25128.0,,32321.0,35623.0,28786.0,32089.0,31502.0,32099.0,25351.0,,23320.0,30368.0,37865.0,32666.0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,16390.0,16390.0,2075.0,0.13,2,,,,,0,,,,,0,23753.0,23753.0,,,1,14028.0,14028.0,,,1,26935.0,28854.0,4727.0,0.18,3,25128.0,25128.0,,,1,32243.0,32321.0,3419.0,0.11,3,31897.0,32089.0,342.0,0.01,3,24336.0,24336.0,1436.0,0.06,2,33633.0,32666.0,3841.0,0.11,3,,,,,,,,,,,,,,,,498.0,25128.0,,0.0,,,,,,16390.0,,,23753.0,14028.0,28854.0,25128.0,32321.0,32089.0,24336.0,32666.0,25128.0
C19H30N8O8,,74.33,498.2247,8.600003,51,,,,19345.0,16427.0,21835.0,21351.0,,22071.0,17783.0,,17381.0,18682.0,15278.0,,14275.0,43178.0,22676.0,29648.0,,37401.0,18209.0,27041.0,30719.0,14537.0,16685.0,14369.0,,22243.0,,,46680.0,,,,22351.0,,,,17515.0,24223.0,44006.0,44631.0,54131.0,47471.0,49556.0,42941.0,69725.0,33536.0,29482.0,,,,,,0,19202.0,19345.0,2707.0,0.14,3,21711.0,21711.0,509.0,0.02,2,17582.0,17582.0,284.0,0.02,2,16980.0,16980.0,2407.0,0.14,2,26710.0,22676.0,14868.0,0.56,3,33524.0,33524.0,5482.0,0.16,2,25323.0,27041.0,6430.0,0.25,3,15197.0,14537.0,1291.0,0.08,3,22243.0,22243.0,,,1,46680.0,46680.0,,,1,22351.0,22351.0,,,1,,,,,0,28581.0,24223.0,13773.0,0.48,3,48744.0,47471.0,4876.0,0.1,3,54074.0,49556.0,13952.0,0.26,3,31509.0,31509.0,2867.0,0.09,2,,,,,,,,,,,,,,,,498.0,22676.0,,0.0,19345.0,21711.0,17582.0,16980.0,22676.0,33524.0,27041.0,14537.0,22243.0,46680.0,22351.0,,24223.0,47471.0,49556.0,31509.0,22676.0
C26H34N4O6,,75.26,498.2515,6.899996799999999,51,,,,,,,,,,,,,,,,,,,,,18563.0,,,17587.0,,,,,23508.0,,,30830.0,,,,16835.0,,,,15138.0,19789.0,24727.0,21617.0,25110.0,25064.0,22400.0,,23843.0,,20629.0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,18563.0,18563.0,,,1,17587.0,17587.0,,,1,,,,,0,23508.0,23508.0,,,1,30830.0,30830.0,,,1,16835.0,16835.0,,,1,,,,,0,19885.0,19789.0,4795.0,0.24,3,23930.0,25064.0,2004.0,0.08,3,23122.0,23122.0,1020.0,0.04,2,20629.0,20629.0,,,1,,,,,,,,,,,,,,,,498.0,20629.0,,0.0,,,,,,18563.0,17587.0,,23508.0,30830.0,16835.0,,19789.0,25064.0,23122.0,20629.0,20629.0
C21H38N8O6,,74.72,498.2915,9.888,51,,,,35045.0,36130.0,17937.0,26444.0,,24857.0,,,40196.0,,,,,37046.0,39707.0,27746.0,,34266.0,,38442.0,,32850.0,34517.0,31979.0,31755.0,31875.0,,,44017.0,,,,42052.0,,,,45372.0,58374.0,59216.0,40710.0,42786.0,39753.0,30880.0,31978.0,35935.0,48950.0,56265.0,34088.0,,,,,0,29704.0,35045.0,10205.0,0.34,3,25650.0,25650.0,1122.0,0.04,2,40196.0,40196.0,,,1,,,,,0,38376.0,38376.0,1882.0,0.05,2,31006.0,31006.0,4610.0,0.15,2,38442.0,38442.0,,,1,33115.0,32850.0,1290.0,0.04,3,31815.0,31815.0,85.0,0.0,2,44017.0,44017.0,,,1,42052.0,42052.0,,,1,,,,,0,54321.0,58374.0,7761.0,0.14,3,41083.0,40710.0,1551.0,0.04,3,32931.0,31978.0,2659.0,0.08,3,46434.0,48950.0,11300.0,0.24,3,,,,,,,,,,,,,,,,498.0,38409.0,,0.0,35045.0,25650.0,40196.0,,38376.0,31006.0,38442.0,32850.0,31815.0,44017.0,42052.0,,58374.0,40710.0,31978.0,48950.0,38409.0
C23H46O11,,68.24,498.3079,11.418,42,,,,,,,,,,,14904.0,,,16720.0,,,24096.0,18422.0,,,,14208.0,16646.0,26702.0,,,,29283.0,12973.0,,,,,,,38036.0,,,,19496.0,23831.0,47366.0,32661.0,46840.0,31491.0,22071.0,,,,42819.0,25485.0,,,,,0,,,,,0,,,,,0,14904.0,14904.0,,,1,16720.0,16720.0,,,1,21259.0,21259.0,4012.0,0.19,2,,,,,0,19185.0,16646.0,6623.0,0.35,3,,,,,0,21128.0,21128.0,11533.0,0.55,2,,,,,0,38036.0,38036.0,,,1,,,,,0,30231.0,23831.0,14997.0,0.5,3,36997.0,32661.0,8544.0,0.23,3,22071.0,22071.0,,,1,34152.0,34152.0,12257.0,0.36,2,,,,,,,,,,,,,,,,498.0,21665.0,,0.0,,,14904.0,16720.0,21259.0,,16646.0,,21128.0,,38036.0,,23831.0,32661.0,22071.0,34152.0,21665.0
C28H50O7,,40.61,498.3559,12.179996000000001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,77067.0,96422.0,37051.0,,,,,,,,,,,,,50711.0,185657.0,36593.0,,,,67225.0,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,70180.0,77067.0,30279.0,0.43,3,,,,,0,,,,,0,,,,,0,,,,,0,90987.0,50711.0,82290.0,0.9,3,,,,,0,67225.0,67225.0,,,1,,,,,,,,,,,,,,,,498.0,67225.0,,0.0,,,,,,,,,77067.0,,,,,50711.0,,67225.0,67225.0
C28H41NO5Si,,66.42,499.2786,11.386999000000001,51,,,,74944.0,82762.0,,39840.0,,51654.0,,,,,,,,55499.0,,62018.0,32458.0,60344.0,,61964.0,,30507.0,,39193.0,,,45209.0,,48693.0,51013.0,32902.0,23997.0,18938.0,49793.0,26736.0,72458.0,20813.0,23281.0,53198.0,72272.0,53072.0,43048.0,31271.0,43295.0,62494.0,43402.0,,,,,,,0,78853.0,78853.0,5528.0,0.07,2,45747.0,45747.0,8354.0,0.18,2,,,,,0,,,,,0,55499.0,55499.0,,,1,51607.0,60344.0,16604.0,0.32,3,61964.0,61964.0,,,1,34850.0,34850.0,6142.0,0.18,2,45209.0,45209.0,,,1,49853.0,49853.0,1640.0,0.03,2,25279.0,23997.0,7070.0,0.28,3,49662.0,49793.0,22861.0,0.46,3,32431.0,23281.0,18027.0,0.56,3,56131.0,53072.0,14850.0,0.26,3,45687.0,43295.0,15748.0,0.34,3,43402.0,43402.0,,,1,,,,,,,,,,,,,,,,499.0,47770.0,,0.0,78853.0,45747.0,,,55499.0,60344.0,61964.0,34850.0,45209.0,49853.0,23997.0,49793.0,23281.0,53072.0,43295.0,43402.0,47770.0
C29H39F2N3O2,,73.81,499.3011,8.954995,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,35841.0,56166.0,74119.0,,80684.0,77131.0,31023.0,32213.0,,65522.0,76016.0,81917.0,31039.0,42324.0,38153.0,28155.0,36163.0,37690.0,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,55375.0,56166.0,19151.0,0.35,3,78908.0,78908.0,2512.0,0.03,2,31618.0,31618.0,841.0,0.03,2,74485.0,76016.0,8304.0,0.11,3,37172.0,38153.0,5706.0,0.15,3,34003.0,36163.0,5121.0,0.15,3,,,,,0,,,,,0,,,,,,,,,,,,,,,,499.0,47160.0,,0.0,,,,,,,,,56166.0,78908.0,31618.0,76016.0,38153.0,36163.0,,,47160.0
C14H18I2N2O2 8.821006,,72.14,499.9415,8.821006,51,,,,42704.0,39194.0,56320.0,35531.0,32894.0,39733.0,36318.0,28447.0,43325.0,50838.0,43379.0,91311.0,56113.0,54305.0,92016.0,47061.0,65743.0,57277.0,38234.0,61093.0,62554.0,46628.0,122298.0,115158.0,199638.0,305069.0,308610.0,,71353.0,205033.0,87153.0,135436.0,115441.0,127216.0,119812.0,146609.0,160695.0,235065.0,454074.0,389335.0,643856.0,467063.0,268029.0,112668.0,443694.0,66308.0,209034.0,120258.0,,,,,0,46073.0,42704.0,9046.0,0.2,3,36053.0,35531.0,3449.0,0.1,3,36030.0,36318.0,7443.0,0.21,3,61843.0,50838.0,25791.0,0.42,3,67478.0,56113.0,21270.0,0.32,3,56694.0,57277.0,9355.0,0.17,3,53960.0,61093.0,13639.0,0.25,3,94695.0,115158.0,41780.0,0.44,3,271106.0,305069.0,61918.0,0.23,3,138193.0,138193.0,94526.0,0.68,2,112677.0,115441.0,24260.0,0.22,3,131212.0,127216.0,13838.0,0.11,3,283278.0,235065.0,152516.0,0.54,3,500085.0,467063.0,130434.0,0.26,3,274797.0,268029.0,165617.0,0.6,3,131867.0,120258.0,72068.0,0.55,3,,,,,,,,,,,,,,,,500.0,115300.0,,0.0,42704.0,35531.0,36318.0,50838.0,56113.0,57277.0,61093.0,115158.0,305069.0,138193.0,115441.0,127216.0,235065.0,467063.0,268029.0,120258.0,115300.0
C26H24N6O3S,,68.08,500.1655,7.671997500000001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15883.0,,19035.0,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,17459.0,17459.0,2229.0,0.13,2,,,,,0,,,,,,,,,,,,,,,,500.0,17459.0,,0.0,,,,,,,,,,,,,,,17459.0,,17459.0
C32H24N2O4,,73.6,500.1758,9.830996,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,42325.0,39208.0,,,,,,,,,,,,,,,,27984.0,,26703.0,,22225.0,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,40766.0,40766.0,2204.0,0.05,2,,,,,0,,,,,0,,,,,0,,,,,0,27984.0,27984.0,,,1,26703.0,26703.0,,,1,22225.0,22225.0,,,1,,,,,,,,,,,,,,,,500.0,27344.0,,0.0,,,,,,,,,40766.0,,,,,27984.0,26703.0,22225.0,27344.0
